DBMSTable,SiteName
4000STL4,SYPJCC-GF-LVMCB-A5-NAMP
4000STL5,SYPJCC-GF-LVMCB-A5-CU
4000STL6,SYPJCC-GF-LVMCB-A5-TRMS1
4000STL7,SYPJCC-GF-LVMCB-A5-TRMS2
4000STL8,SYPJCC-GF-LVMCB-A5-TRMS3
4000STL9,SYPJCC-GF-LVMCB-A5-KW1
4000STL10,SYPJCC-GF-LVMCB-A5-KW2
4000STL11,SYPJCC-GF-LVMCB-A5-KW3
4000STL12,SYPJCC-GF-LVMCB-A5-KW
4000STL13,SYPJCC-GF-LVMCB-A5-KVAR1
4000STL14,SYPJCC-GF-LVMCB-A5-KVAR2
4000STL15,SYPJCC-GF-LVMCB-A5-KVAR3
4000STL16,SYPJCC-GF-LVMCB-A5-KVAR
4000STL17,SYPJCC-GF-LVMCB-A5-KVA1
4000STL18,SYPJCC-GF-LVMCB-A5-KVA2
4000STL19,SYPJCC-GF-LVMCB-A5-KVA3
4000STL20,SYPJCC-GF-LVMCB-A5-KVA
4000STL21,SYPJCC-GF-LVMCB-A5-HZ
4000STL22,SYPJCC-GF-LVMCB-A5-PF
4000STL23,SYPJCC-GF-LVMCB-A5-THDV1
4000STL24,SYPJCC-GF-LVMCB-A5-THDV2
4000STL25,SYPJCC-GF-LVMCB-A5-THDV3
4000STL26,SYPJCC-GF-LVMCB-A5-THDAMP1
4000STL27,SYPJCC-GF-LVMCB-A5-THDAMP2
4000STL28,SYPJCC-GF-LVMCB-A5-THDAMP3
4000STL29,SYPJCC-GF-LVMCB-A5-HHD
4000STL30,SYPJCC-GF-LVMCB-A5-KWH
4000STL31,SYPJCC-GF-LVMCB-A5-HNAMP
4000STL32,SYPJCC-GF-LVMCB-A5-LPF
4000STL33,SYPJCC-GF-LVMCB-A5-MAXCDTH
4000STL34,SYPJCC-GF-LVMCB-A5-MINCDTH
4000STL35,SYPJCC-GF-LVMCB-A6-PAMP1
4000STL36,SYPJCC-GF-LVMCB-A6-PAMP2
4000STL37,SYPJCC-GF-LVMCB-A6-PAMP3
4000STL38,SYPJCC-GF-LVMCB-A6-NAMP
4000STL39,SYPJCC-GF-LVMCB-A6-CU
4000STL40,SYPJCC-GF-LVMCB-A6-TRMS1
4000STL41,SYPJCC-GF-LVMCB-A6-TRMS2
4000STL42,SYPJCC-GF-LVMCB-A6-TRMS3
4000STL43,SYPJCC-GF-LVMCB-A6-KW1
4000STL44,SYPJCC-GF-LVMCB-A6-KW2
4000STL45,SYPJCC-GF-LVMCB-A6-KW3
4000STL46,SYPJCC-GF-LVMCB-A6-KW
4000STL47,SYPJCC-GF-LVMCB-A6-KVAR1
4000STL48,SYPJCC-GF-LVMCB-A6-KVAR2
4000STL49,SYPJCC-GF-LVMCB-A6-KVAR3
4000STL50,SYPJCC-GF-LVMCB-A6-KVAR
4000STL51,SYPJCC-GF-LVMCB-A6-KVA1
4000STL52,SYPJCC-GF-LVMCB-A6-KVA2
